roundNo	questionNo	questionText	imageUrl	answerText
Round 1 Player 1	Question 1	**Which internet challenge** started in March 2020 after influencer Ava Louise filmed herself licking an aeroplane toilet seat? It evolved into licking various surfaces such as door handles and subway poles leading to platforms like TikTok blanket-banning such videos.		**Coronavirus** Challenge (Accept: **COVID-19** or variants); The objective of the challenge was to see if one contracts the coronavirus.
Round 1 Player 1	Question 2	The Gugghenheim Museum built by Frank Lloyd Wright serves as the setting for a scene in **which 1997 movie**? In the scene NYPD officer James Darrell Edwards III manages to chase down a cephalapoid that scales the exterior of the Gugghenheim, thereby proving his potential and eventually leading to him being recruited into a special agency.	https://i.imgur.com/T8FYGEI.jpg	**Men in Black**
Round 1 Player 2	Question 1	When Robert Hooke discovered his law of __________ (10) in 1676, he published it as the anagram: “ceiiinosssttuv.” The solution to this was revealed later as the Latin “ut tensio, sic vis”, meaning “as the extension, so the force.” **Fill in the blank**.	https://i.imgur.com/Gu7ZjNF.png	**Elasticity**
Round 1 Player 2	Question 2	**Identify this seven-time world weightlifting champion and three-time Olympic gold medalist** who has represented both Bulgaria and Turkey. He was given the nickname “Pocket Hercules” on account of his short stature and lifting prowess. 	https://i.imgur.com/6OiAqZ4.jpg	Naim **Süleymanoğlu**
Round 1 Player 3	Question 1	 **Which test automation tool** and popular python library, named after a chemical element, was created in 2004 to compete with Mercury Interactive? The chemical element, used as an antidote for Mercury poisoning, is named after a sibling of Helios and Eos. 		**Selenium**.  The element is named after Selene.
Round 1 Player 3	Question 2	In the 1960s this complimentary three-letter slang abbreviation was used to describe “incredibly cool or awesome surfing”. **What is this word** that physicists defined as “the dose causing 100 ergs of energy to be absorbed by one gram of matter” and which has now been supplanted by the SI derived unit Gray? In the 1980s it became familiar to an entire generation exposed to the Teenage Mutant Ninja Turtles cartoon.		**Rad**; In slang it was an abbreviation of the word “radical."  In physics it is an acronym for Radiation Absorbed Dosage.
Round 1 Player 4	Question 1	 There have been a few instances of gender-swaps in portraying Shakespearean characters. While the gender of this character has been ambiguous, Shakespeare uses male pronouns twice, once in stage directions and once in a speech by Prospero. The role was played by women for all of the 18th and 19th centuries. In 1930, Leslie French became the first male in centuries to play **which character**? Since then, the role has been played by actors of all genders.	https://i.imgur.com/3hJLnRC.png	**Ariel**; from The Tempest
Round 1 Player 4	Question 2	One of the essays in Indian historian Manu S Pillai’s 2019 collection The Courtesan, the Mahatma and the Italian Brahmin: Tales from Indian History is about the cultural practices of the Mappila community of Kerala. They have their own version of an ancient Indian text, where someone is portrayed as a *sultan*. This person is described to be struggling to shave because he has to put in 10 times the normal effort. **Who is this *sultan***?		**Ravana**, because of his 10 heads; the text is the Ramayana. 
Round 2 Player 1	Question 1	The idea of uchi (clean and safe) and soto (impure or unknown), a clear distinction between the inside and the outside of homes, has shaped Japanese society for centuries. In this context, **what are uwabaki** - a requisite personal item that one might find at the entrance to homes?		**Indoor shoes/slippers/socks** OR **any acceptable variant that indicates the footwear or socks for wearing inside the home** (Prompt: If they say just shoes or slippers).    The outdoor shoes, considered unclean, are left at the doorstep. <br><img src='https://i.imgur.com/WFK3VSZ.jpg'  height='300px'>
Round 2 Player 1	Question 2	**What dry anise-flavoured liqueur** is consumed widely as an apéritif in Greece? It lends its name to the scientific phenomenon where a milky oil-in-water emulsion is formed when water is added to this or any related transparent liqueurs or spirits.	https://i.imgur.com/pRVps7M.png	**Ouzo**; This image depicts the Ouzo effect when absinthe is added to water.  <br><img src='https://i.imgur.com/bt2E5z2.png'  height='300px'>
Round 2 Player 2	Question 1	A 1960s Pulitzer Prize-winning photograph features 3 people prominently along with a bunch of others. 1. Jim Leavelle, a WW2 veteran and Dallas detective (pictured); and 2. Someone born Jacob Leon Rubenstein. **Who is the third?**	https://i.imgur.com/dEY2nkJ.jpg	Lee Harvey **Oswald** (Prompt: JFK's Killer or JFK); Jim Leavelle is the police detective seen prominently in the famous photo of Jack Ruby (Jacob Rubenstein) assassinating Lee Harvey Oswald. <br><img src='https://i.imgur.com/Sib2d04.jpg?1'  height='300px'>
Round 2 Player 2	Question 2	Named in honour of a 19th century Englishman whose work frequently appeared in Punch and London Society, the Caldecott Medal is an annual award given  **to whom or for excellence in what field**? It is given by a division of the American Library Association, and considered a companion award to the Newbery Medal.		Book **illustrators** or **illustrations** or **Picture books** or anything that refer to **drawings** or **illustrations** or **cartoons** for books.  The Newbery medal is given to authors for distinguished contribution to American literature for children.
Round 2 Player 3	Question 1	This sport/activity was formalised in the early 20th century and is typically associated with the military as a part of boot camp training to test endurance, strength and teamwork. **What sport/activity**, that features several *hurdles* such as monkey bars, walls, mud crawls, rings of fire etc., is this?		**Obstacle Course Racing** (Accept: **OCR** or **obstacle course** or **obstacle** plus any variant of course or race)
Round 2 Player 3	Question 2	In his 2021 book False Allies: India’s Maharajahs in the Age of Ravi Varma, Manu S Pillai talks of a 1862 murder in the town of Mavelikkara, Kerala. A member of the royal family was arrested and imprisoned for his role in the killing, which created news internationally for the unusual weapon used to rain blows on the victim. **What item**, that can weigh over 50 kg and found in abundance all over Kerala was this?		**Jackfruit** (accept Chakka)
Round 2 Player 4	Question 1	In Black Panther, Zuri, played by Forest Whittaker, wears a robed outfit inspired by the "agbada", a flowing wide-sleeved robe worn by **which group of people** in Western Africa? They constitute around 38 million people who live primarily in Nigeria, Benin and Togo.	https://i.imgur.com/P2HrYmP.png	**Yoruba**
Round 2 Player 4	Question 2	**Which internet challenge** involved people using a shot glass to cover their lips and using suction force to force blood into their lips, causing them to swell? It is named after a socialite whose puffy lips the people were trying to recreate.	https://i.imgur.com/EKX2aJi.png	**Kylie Jenner** Challenge <br><img src='https://i.imgur.com/MFRVHJR.png'  height='300px'>
Round 3 Player 1	Question 1	The 1959 Caldecott Medal was won by Barbara Cooney for “Chanticleer and the Fox”. A retelling of a popular Middle Ages fable from **which 1390 work** did Cooney use as the basis for her book?		**The Canterbury Tales** (Accept: **The Nun's Priest's Tale**; Prompt: Geoffrey Chaucer)
Round 3 Player 1	Question 2	**Identify this gymnast** who won gold as a part of the Unified Team at the 1992 Barcelona Olympics, Asian Games and World Championship medals representing Uzbekistan, and a silver in vault representing Germany in Beijing 2008. She holds the distinction of being the oldest gymnast to have competed at the Olympics.	https://i.imgur.com/Ib7lLM4.jpg	Oksana **Chusovitina**
Round 3 Player 2	Question 1	The full title of the Sultan of Brunei is Kebawah Duli Yang Maha Mulia ______ (6) Seri Baginda. The words “Seri ______ (6)” mean “His Majesty” and the blank is a type of footwear associated with ancient Hindu and Buddhist religious traditions. **What’s the good word?**		**Paduka**;  It is little more than a sole with a post and knob that is engaged between the big and second toe. It has been historically worn in South Asia and Southeast Asia for millennia. <br><img src='https://i.imgur.com/yiaNMsD.png'  height='300px'>
Round 3 Player 2	Question 2	Beautiful Soup is a Python library for parsing and retrieving data from HTML & XML files. It gets its name from a poem from Alice in Wonderland that is narrated by a melancholic character who wishes he wasn't just a ____ ______(4,6). **Which character**, named after a dish that was popular during the Victorian period? The dish was created after the original reptilian protein integral to the dish was nearly hunted to extinction.		**Mock Turtle**; The mock turtle soup was an 18th century dish made as an imitation of the popular turtle soup. It used different cuts of more readily available meat such as calf's head and other odds and ends.
