roundNo	questionNo	questionText	imageUrl	answerText
Round 1 Player 1	Question 1	WHICH AFRICAN LANGUAGE has a flexible history that involves heavy borrowing of words from every language it has encountered, including Arabic? Deriving its name from Arabic for “boundary” or “coast”, it's full name is “Ki_______” meaning “language of the coast”.		**Swahili** (Accept: **Kiswahili**); From Arabic “sahil” meaning “boundary”
Round 1 Player 1	Question 2	In 2010, Ai Weiwei exhibited a space-filling art installation at the Tate Modern that consisted of one hundred million individually hand-crafted sunflower seeds made of WHAT MATERIAL by 1,600 workers at Jingdezhen? In the 14th century, the Ming dynasty assumed control of all the kilns producing this material. 	https://i.imgur.com/Mk3BuSd.jpg	**Porcelain** (Accept: **Bone china**)
Round 1 Player 2	Question 1	The world’s first intercontinental ballistic missile (ICBM) was the R-7 Semyorka – the brainchild of the Ukraine-born Sergei Korolev. The ICBM made 28 launches but was never deployed operationally. Its most significant contribution came in 1957 during WHICH SPECIFIC ENDEAVOUR that saw a modified version of the R-7 being used for an 83 kg payload?		The launch of **Sputnik**-1 (Prompt: If they mention first artificial satellite launch.)
Round 1 Player 2	Question 2	While living at their three-hundred-year-old palatial home, WHOSE PET CORGIS Monty, Willow and Holly have had the pleasure of welcoming global guests including a famous spy in 2012? 		Queen **Elizabeth** II (Accept: **The Queen, Elizabeth**)
Round 1 Player 3	Question 1	WHICH CARIBBEAN ISLAND'S tourism tagline is "....go beyond ordinary"? It is considered by some to be the inspiration for the island in Robinson Crusoe and the 1960 film Swiss Family Robinson was shot entirely on this island, with Bacolet Bay Beach featuring extensively. 	https://i.imgur.com/ngHJUz9.jpg?1	**Tobago** (Grudingly accept: **Trinidad and Tobago**; Do not prompt nor accept only Trinidad)  TOBAgo beyond ordinary
Round 1 Player 3	Question 2	WHAT CUE SPORT gained its identity after British army officer Neville Chamberlain devised a set of rules for it in 1875 when stationed in India? It got its name from a derogatory term used to describe inexperienced or first-year military personnel.		**Snooker**
Round 1 Player 4	Question 1	In the Watchmen Universe, WHAT 1995 INCIDENT is foiled by the characters Nite Owl and Comedienne? The FBI considers this the deadliest act of homegrown terrorism in US history.		**Oklahoma City Bombing** (Accept: **Oklahoma** City Terror Attack)
Round 1 Player 4	Question 2	The amino acid Serine was first isolated from ____, a fact reflected in its name. WHAT IS THIS NATURALLY OCCURRING MATERIAL?		**Silk**; 'Sericum' is Latin for Silk.
Round 2 Player 1	Question 1	WHICH ISLAND NATION'S tourism tagline is "The Spice of The Caribbean"? The likely origin of the present name of the country is from a time when Spanish sailors named it for a city in Andalusia. 	https://i.imgur.com/FMKY3JP.jpg	**Grenada**; It is known as the "Island of Spice" due to its production of nutmeg and mace. The image shows an open nutmeg.
Round 2 Player 1	Question 2	WHICH 'LEVITATING' POPSTAR collaborated on Elton John's 2020 album 'The Lockdown Sessions' with the song 'Cold Heart'?		**Dua Lipa**
