roundNo	questionNo	questionText	imageUrl	answerText
Round 1 Player 1	Question 1	Exclusive to the Paralympics, wheelchair _____ (5) involves players attempting to carry the ball over the opponents' goal line. **Fill in the blank.** This sport was originally known as murderball. 	https://i.imgur.com/yc2W2Sy.png	**Rugby** (Accept: **Quad Rugby**)
Round 1 Player 1	Question 2	 **What widely used forensic technique** has limitations to its use, especially in patients suffering from rare genetic diseases such as adermatoglyphia and ectodermal dysplasia? Criminals are known to use sandpaper, fire or unusual methods involving pineapple juice to evade detection from this technique.		**Fingerprint** Analysis (Accept: Anything that includes **Fingerprint**)
Round 1 Player 2	Question 1	**Which philosopher** is portrayed next to his teacher Plato in Raphael's The School of Athens? The founder of the Lyceum, the Peripatetic school of philosophy, this polymath helped lay the foundation of several subjects. He was also the tutor for Alexander the Great.	https://i.imgur.com/Mdy24td.png	**Aristotle**
Round 1 Player 2	Question 2	The GIGN is the elite special forces tactical unit of the French National Gendarmerie. In 1979, they famously advised and provided assistance to another nation during the seizure of a religious structure in a certain city. However, as per credible accounts, GIGN commandos did not physically enter the city. **Which city**?	https://i.imgur.com/oaKUHQt.png	**Mecca**; The GIGN commandos couldn’t enter Mecca because they were not Muslims.
Round 1 Player 3	Question 1	In 543 CE, **which dynasty** asserted their independence from the Kadamba kingdom and established Vatapi (Badami) as their capital? They derived their name from the old Kannada word for "salki", the agricultural tool used by their forebears. 		**Chalukya**
Round 1 Player 3	Question 2	Gnorm the Gnat was an unsuccessful comic strip that forced its creator to veer away from insects to a more relatable anthropomorphic pet. **Which gag-a-day comic strip**, featuring a character that *does not enjoy the start of the week*, did he go on to create?	https://i.imgur.com/v8XECOs.png	**Garfield** <br> <img src='https://i.imgur.com/dicsMFi.png' height='300px'>
Round 1 Player 4	Question 1	**Which anthology series (3,8,4)** was rebooted in 2019 by Simon Kinberg, Marco Ramirez and Jordan Peele, who also narrated it? Like the mid-20th century original, each episode deals with a theme such as the supernatural, race, social issues through disturbing or unusual events, an experience described as entering "___ ________ ____" (3,8,4).	https://i.imgur.com/g0gvNHW.png?2	**The Twilight Zone** (Accept: **Twilight Zone**)
Round 1 Player 4	Question 2	While the motifs on this medal are inspired by Louis Sullivan, the father of skyscrapers, the motto “firmitas, utilitas, venustas” is from attributes associated with Vitruvius. **Identify the prize** for which this medal is awarded.	https://i.imgur.com/UbnhQTY.png	**Pritzker** Architecture Prize (Accept: **Prizker**)
Round 2 Player 1	Question 1	This conglomerate started in the 1980s by publishing computer magazines such as Oh! PC and Oh! MZ - in keeping with the first part of its name. Its biggest influence now is through its Vision Fund that invests in AI, robotics, IoT etc. - in keeping with the second part of its name. **What one-word compound name** hinting at the conglomerate's aspiration "to be a key source of infrastructure for the information society"?	https://i.imgur.com/B7CBydm.png	**SoftBank**
Round 2 Player 1	Question 2	In 2013, following revelations of institutional doping between 1973 and 1989, Swimming World decided to strip six East German (DDR) swimmers, all women, of their World and European Swimmers of the Year titles won during this period. Two of them were three-time winners of World Swimmer of the Year. **Name either**.		Kornelia **Ender** OR Kristin **Otto**
Round 2 Player 2	Question 1	**Which game show** was rebooted as a version for adults, 15 years after the original Nickelodeon series stopped airing? Elements of the show are said to have inspired a popular mobile game (visual).	https://i.imgur.com/NSTC6wH.png	**Legends of the Hidden Temple** (Prompt: Temple Run or if answer contains two of three words: Legends, Hidden, Temple)
