roundNo	questionNo	questionText	imageUrl	answerText
Round 1 Player 1	Question 1	The Corner is a 2000 drama television miniseries based on the nonfiction book of the same name written by the authors pictured. Their experience while researching this work informed their next creative venture which they described as "a visual novel." **Which creative venture**, that got its name from a slang term for a form of surveillance equipment?	https://i.imgur.com/ezTuqbl.jpg	**The Wire**, created by David Simon and Ed Burns.
Round 1 Player 1	Question 2	**Which bird** (5,5) found in Central and South America is depicted on the coat of arms of Panama? To differentiate the _____ _____ (5,5) from other related species such as the "black", "golden" and "solitary", this raptor was named after the half-human and half-bird personification of storm winds in Greek and Roman mythology.	https://i.imgur.com/gqAIAmW.png	**Harpy eagle** (Accept: **Royal Hawk**)  <br> <img src='https://i.imgur.com/PLsc8CW.png' height='400px'>
Round 1 Player 2	Question 1	Just before the discovery of the periodic table, four new elements with “colour names” were discovered using the new flame spectroscope invented by Kirchhoff and Bunsen at Heidelberg. In 1860, **which element** did they discover from mineral water at the nearby Durkheim spa? This element, identified and named for its distinctive spectroscopic lines, is critical to the maintenance of Universal Coordinated Time.	https://i.imgur.com/MF82BK6.jpg	**Caesium**, from Greek for “sky-blue”.
Round 1 Player 2	Question 2	This disorienting canted camera angle meant to evoke tension is a film noir favourite. It was pioneered by Robert Wiene in his 1920 horror film “The Cabinet of Dr. Caligari” and was associated with German Expressionism cinema. Because of a mistranslation its name misleadingly suggests that it originated from **which other European country**?	https://i.imgur.com/gsudOhQ.jpg	**Netherlands** (Accept: **Holland** or **Dutch**); The camera angle is called the Dutch Angle – a mistranslation of Deutsch Angle.
Round 1 Player 3	Question 1	**Which Irish architect** designed and lived in a villa named E-1027 in Roquebrune-Cap-Martin between 1926-29 with her lover Jean Badovici? This modernist haven, which was later inhabited and "vandalised" by Le Corbusier, was decorated with several pieces of furniture designed by the person in-question. 	https://i.imgur.com/NXfehDm.png	Eileen **Gray**; E-1027, is a code of Eileen Gray and Jean Badovici, 'E' standing for Eileen, '10' Jean, '2' Badovici, '7' Gray.
Round 1 Player 3	Question 2	Progressive supranuclear palsy (PSP) is a neurodegenerative disease. The MRI of the brain in PSP depicts selective atrophy in the midbrain region, resembling the head of ______ _____ (6,5). **What is this sign called**?	https://i.imgur.com/VTVo7dj.jpg	**Mickey Mouse** <br> <img src='https://i.imgur.com/kXgvOYr.png' height='400px'>
Round 1 Player 4	Question 1	Very long books, understandably, have been popular choices of participants (castaways) in the BBC Radio 4 radio programme, Desert Island Discs, **Which mammoth 7-volume novel** originally published between 1913-1927 has been chosen the most number of times by a castaway? You can also **identify the Shakespearean title of the 1920s translation** by C. K. Moncrieff or the **literal title of the 1992 translation** by D. J. Enright. If none of that jogs your *involuntary memory*, maybe the image will.	https://i.imgur.com/4wlX7Aw.png	**À la recherche du temps perdu** OR **Remembrance of Things Past** OR **In Search of Lost Time**; Prompt if they are close but don't accept any other answer.
Round 1 Player 4	Question 2	**Which constituency** was represented in the Lok Sabha by Jawaharlal Nehru during his tenure as Prime Minister of India from 1952 to 1964? One could say it is apt that an anthophile like Nehru was elected from this seat centred around a small town near Allahabad.	https://i.imgur.com/Lj2y87p.png	**Phulpur** or **Phoolpur**
Round 2 Player 1	Question 1	**What rhythmic gymnastics apparatus** is a single strip usually made of satin, attached to a stick made of wood or synthetic material? Gymnasts create patterns with it, including spirals, circles and serpentines. It has to be kept in motion throughout the routine.		**Ribbon** <br> <img src='https://i.imgur.com/XXmhU5w.png' height='400px'>
Round 2 Player 1	Question 2	Throughout history there have been numerous people who have claimed to The Messiah or Mahdi or Kalki. One such claimant was Mirza Ghulam _____ (5) who proclaimed himself the Mahdi and founded **which much-persecuted eponymous religious sect**? Their flag depicts a minaret located in an Indian town.	https://i.imgur.com/yulZ7pi.png	**Ahmaddiya**; (Prompt/Accept: Ahmad) The White Minaret or Minaret-ul-Masih of Aqsa Mosque in Qadian features on the flag. <br> <img src='https://i.imgur.com/fstU1aV.png' height='400px'>
Round 2 Player 2	Question 1	**Which Buddhist Siamese kingdom** that existed from 1351 to 1767 is considered to be the precursor of modern Thailand? It reached its peak under Narai the Great and the restored ruins of his capital city, which literally means "invincible city" and shares its name with the kingdom, is now a UNESCO World Heritage Site (visual).	https://i.imgur.com/tNmMYKY.png	**Ayutthaya**
Round 2 Player 2	Question 2	The crew of the twin Mars rover missions Spirit and Opportunity, who worked according to Mars-days (sols), were woken-up with songs that mirrored the situation of the mission. **Which song**, by a band named after a famous 1920s German novel, was played on the morning Spirit departed on its *free-spirited* mission to explore unchartered territories? 		**Born To Be Wild** by Steppenwolf  <br> <img src='https://i.imgur.com/UdqfSQI.png' height='400px'>
Round 2 Player 3	Question 1	In The Wire, Senator Clay Davis holds in his hand a play (visual), which he describes as being about "a simple man who was punished by the powers that be for the simple crime of trying to bring light to the mankind". **Which play by Aeschylus**, whose two-word title describes what happened to the titular character at Mt. Scythia, is this?	https://i.imgur.com/SDsL82K.jpg	**Prometheus Bound**
Round 2 Player 3	Question 2	**Which constituency** was represented in the Lok Sabha by Indira Gandhi during her tenure as Prime Minister from 1967 to 1977? This bastion of the Indian National Congress has Sonia Gandhi as its current MP.	https://i.imgur.com/pqWzvhn.png	**Rae Bareli**
Round 2 Player 4	Question 1	The World Sport Photography Awards, instituted in 2020 through a partnership between Twelfthman and Iconify, honours the best sports photographs of the year. The overall winner in the inaugural year was this photo by Richard Heathcote from the heavyweight professional boxing bout that resulted in an upset win by Andy Ruiz Jr over **which undefeated and unified WBA (Super), IBF, WBO, and IBO champion**?	https://i.imgur.com/gDnvgeM.png	Anthony **Joshua**
Round 2 Player 4	Question 2	The host cities of Euro 2020 had brand logos featuring iconic bridges to hint at the tournament’s role in connecting people. **Which host city’s logo** featured a bridge named after the 1969 Nobel Laureate in Literature? The shape of the spar and the cables of this bridge is said to evoke an image of a harp lying on its edge. The city was later removed from the list of hosts.	https://i.imgur.com/op5RBno.png	**Dublin** (This is the Samuel Beckett Bridge over the Liffey) <br> <img src='https://i.imgur.com/OEfN6t6.png' height='400px'>
Round 3 Player 1	Question 1	One of the furniture pieces Eileen Gray designed for the villa E-1027 was the Transat (visual), which consisted of a wooden frame covered with upholstery. **What items**, found onboard the transatlantic ocean liners Eileen Gray journeyed on, served as inspiration for the Transat's design? 	https://i.imgur.com/TFhtIce.png?1	**Deck chairs** (Accept: All equivalent variants such as **Sunbathing** chair, **Sun** chair, **Easy chair**) <br> <img src='https://i.imgur.com/9uI76AV.png' height='400px'>
Round 3 Player 1	Question 2	**Which constituency** was represented in the Lok Sabha by Morarji Desai during his tenure as Prime Minister from 1977 to 1979? It is centred around the second most populous city in its state, also a major world centre for diamonds.	https://i.imgur.com/AyqJjXk.png	**Surat**
Round 3 Player 2	Question 1	In 1992, the founder of **which religious group** published a doctrine (visual) in which he declared himself Christ, his country's only fully enlightened master, and identified with the Lamb of God? In the early 2000s, the group renamed itself to avoid association with the horrific 1995 event that its founder orchestrated. Either name of the group is acceptable.	https://i.imgur.com/vv5kPmQ.png	**Aum Shirinkyo** OR **Aleph** founded by Shoko Asahara.
