roundNo	questionNo	questionText	answerText	imageUrl
Round 1 Player 1	Question 1	By **what punny altered name** did Democrat challenger Marcus Flowers call his far-right Republican opponent, *Marjorie* Taylor Greene, following allegations that she had *lied under oath* while testifying about her role in the 2021 United States Capitol attack?	**Perjury** Taylor Greene	
Round 1 Player 1	Question 2	This screen grab from Ariana Grande's Thank U, Next references a cult-classic film. From the attire worn by Ariana and her posse, you can assume this sequence was shot on a Wednesday. **Which film**? 	**Mean Girls**; The line referenced being "On Wednesdays we wear pink". <br> <img src='https://i.imgur.com/y77dowZ.png' height='300px'>	https://i.imgur.com/8IWDamm.png
Round 1 Player 2	Question 1	Claimed to be the highest navigable entity of its kind, **which water body** was once considered by the Incas as the centre of the universe? As per local legend, because the sun and the moon were created here, its islands Isla de Sol and Isla de La Luna are named after them.	Lake **Titicaca**; The image is taken from Isla Del Sol.	https://i.imgur.com/0AaCzQs.jpg
Round 1 Player 2	Question 2	Hans Zimmer began work on a 2014 film by writing a four-minute piece about what it meant to be a father. At the end of the filming, the director gave Zimmer a watch with the inscription “This is no time for caution.” **Which film?**	**Interstellar** (The director, of course, was Christopher Nolan)	
Round 1 Player 3	Question 1	Acting perpendicular to the direction of motion and to the axis of rotation, **what pseudo force** is experienced by a mass moving in a rotating system? It is named after a French scientist who provided the mathematical expression for it in 1835. The effect of this force is used to explain certain weather patterns in the two hemispheres of Earth.	**Coriolis** force; The Coriolis effect makes storms swirl clockwise in the Southern hemisphere and counter-clockwise in the Northern Hemisphere.	
Round 1 Player 3	Question 2	The 4.2-kiloyear BP aridification event affected societies around the world in c. 22nd century BC. A decades-long drought led to **which empire** ruled by Shar-Kali-Sharri to start abandoning cities in northern Mesopotamia and taking refuge in southern regions? This eventually resulted in a confrontation with the Gutians and collapse of the empire by c. 2150 BC. 	**Akkadian** Empire	
Round 1 Player 4	Question 1	 **Which Bollywood movie** was overshadowed by Shah Rukh Khan’s Dilwale Dulhaniya Le Jayenge (DDLJ) and finished as the second highest grossing movie in 1995? Starring Shah Rukh Khan and Salman Khan, it was about two brothers who reincarnate to seek revenge on their greedy uncle.	**Karan Arjun**	
Round 1 Player 4	Question 2	When a company becomes the target of a hostile takeover, it may try to make itself less attractive to the potential acquirer. **What is this alliterative tactic** called? It was used by Twitter recently when Elon Musk offered to buy it.	**Poison Pill** (Accept: **Shareholder Rights Plan**)	
Round 2 Player 1	Question 1	One of "les trois grandes dames" (the three great ladies) of Impressionism, she also modelled for many of her fellow Impressionists. **Which artist**, seen here in a painting by her friend and future brother-in-law Édouard Manet?	Berthe **Morisot**; The painting is Berthe Morisot with a Bouquet of Violets by Édouard Manet.	https://i.imgur.com/FJHGdrv.png
Round 2 Player 1	Question 2	___ (3) Wallace is a former Detroit Pistons star who shares his nickname with a structure that returned to regular service in spring 2022 after a period of five years. Every time he would make a key play, the arena would be filled with the sound of *chimes*. **What two-word alliterative nickname**?	**Big Ben**	https://i.imgur.com/7tNeqfy.jpg
Round 2 Player 2	Question 1	The origin of **which word in biology** is from a Latin word that referred to the unrolling and reading of a book that existed in the form of a scroll? In biology, it was first used to describe the progressive development of an embryo.	**Evolution** (from Latin evolutio)	
Round 2 Player 2	Question 2	**What form of unique tourism** would lead travelers to visit a ghost town in a Ukrainian river valley, the underground annex to a university football stadium in Chicago, specific portions of the Nevada desert and a coastal part of Japan?	**Atomic/Nuclear/Nuclear Disaster/Radiation** Tourism	
Round 2 Player 3	Question 1	In this takeover defense tactic, the target company sells its most attractive assets to a friendly third party or spins off the valuable assets in a separate entity to make the company less attractive. **What is this tactic called**? It shares its name with ceremonial objects housed at the Tower of London.	**Crown Jewel** Defense	
Round 2 Player 3	Question 2	____ (4) is a collective noun for a group of batteries. One would have come across this term in the name of a portable device encountered in the same context. **What term?**	**Bank** (Accept: **Power Bank**)	
Round 2 Player 4	Question 1	Belgian Scotch Ales trace their history back to WWI when brewers came up with special blends to cater to Scottish soldiers who were stationed there. Gordon's, arguably the most popular of the Scotch Ale brands, takes this connection further by serving the beer in a glass designed to resemble **what entity from the natural world**?	**Thistle**; The Thistle is the national emblem of Scotland <br> <img src='https://i.imgur.com/ybsHG0E.jpg' height='300px'>	https://i.imgur.com/kClLIQC.png
Round 2 Player 4	Question 2	This screen grab from Ariana Grande's Thank U, Next references a film that saw renewed interest following Kim Kardashian's latest career change. **Which film**?	**Legally Blonde** <br> <img src='https://i.imgur.com/XAUr9xc.png' height='300px'>	https://i.imgur.com/igIxPl6.png
Round 3 Player 1	Question 1	An Irish physicist and mathematician derived a mathematical expression for the drag force resisting the fall of small spherical particles through a fluid. He lends his name to the law and also **what force** acting on the interface between the fluid and the particle? He, along with a French scientist, lends his name to a Millenium Prize Problem.	**Stokes'** drag force; The Millenium Prize Problem being the Navier–Stokes equations.	
Round 3 Player 1	Question 2	Although the word “evolution” in its present sense was first used by Charles Bonnet in 1762 for his concept of pre-formation, in which females carried a miniature form of all future generations, **which famous book** first published in 1859 on the same subject surprisingly did not mention the term "evolution" at all?	On the **Origin of Species** (Accept: **Origin of Species**); The word appeared only in its sixth and final edition.	
Round 3 Player 2	Question 1	In the run-up to the 2016 US Presidential Elections, Donald Trump's campaign released a Pac-Man inspired parody video to disparage his Democratic opponent. **What replaced the snack pellets** in the parody? The highest possible score in the game was presumably *33,000*.	**Emails**; A reference to the 33,000 emails Hillary Clinton was accused of deleting. <br> <img src='https://i.imgur.com/KqoTVvn.png?1' height='300px'>	
Round 3 Player 2	Question 2	In 2018, **which Nepalese leg-spinner** became the first from his country to play in the IPL? His debut came for the Delhi side against Royal Challengers Bangalore. He also plays for the Hobart Hurricanes in the BBL.	Sandeep **Lamichhane**	https://i.imgur.com/ZRilXN2.jpg
Round 3 Player 3	Question 1	This unique form of tourism involves traveling to a country/destination and purchasing the local edition of a particular product. Following this, they visit at least four railway stations and a few utilities agencies but make sure to avoid *landing up in jail*. **What product**, that saw sales boom during lockdowns, acts as their itinerary?	**Monopoly** Tourism; Tourists purchase the local version of Monopoly (such as Phuket) and visit places mentioned in it.	
Round 3 Player 3	Question 2	A central religious text mentions the use of one black and one white string for a particular practise. When it is bright enough for the two strings to be distinguishable, the practice begins and when they are no longer distinguishable, the practice ends. **What roughly month-long practise?**	**Fasting** OR **Fasting during Ramadan/Ramzan** (Prompt: Ramadan/Ramzan) 	
Round 3 Player 4	Question 1	Wilt Chamberlain, characterised by his towering 7 foot 1 frame, is one of the most dominant players to have ever played in the NBA. He gained one of his nicknames because he had to ___ (3) his head as he walked through doorways. **What two-word nickname**, also the name of a particular pattern of stars?	**Big Dipper**	https://i.imgur.com/rIFaIwK.png
Round 3 Player 4	Question 2	This is the coat of arms of the Venezuelan state Zulia, which depicts Catatumbo lightning, an atmospheric phenomenon that produces the highest concentration of lightning in the world. **Which lake** does this phenomenon take place in?	Lake **Maracaibo**	https://i.imgur.com/Unvd9uB.png
Round 4 Player 1	Question 1	Nimrod, the ninth entry in a classical orchestral work with 14 components, is played at the Cenotaph in London every year during the Remembrance Day Ceremony. Its importance in this regard got Hans Zimmer to use it on the soundtrack of Christopher Nolan’s Dunkirk. **Which *cryptic* orchestral work** by an English composer was Nimrod from? 	**Enigma** Variations (Prompt: Variations OR Edward Elgar)	
Round 4 Player 1	Question 2	As per legend, the distinctive hexagonal glass design of **which Belgian beer brand**, named after a municipality in the Flanders region, is based on the design of jam jars, which were allegedly used for drinking beer when people ran out of glasses?	**Hoegaarden**; The hexagonal shape of the glass is apparently inspired by jam jars; <br> <img src='https://i.imgur.com/7YOya3y.jpg' height='300px'>	https://i.imgur.com/JeRYdca.jpg
Round 4 Player 2	Question 1	Described by the Guardian as “art’s greatest supermodel”, **which artist** was the muse of multiple Pre-Raphaelite painters? Her work was admired by John Ruskin, the pre-eminent art critic of her time, who was also her chief patron.	Elizabeth **Siddal**; The painting is Beata Beatrix by Dante Gabriel Rossetti.	https://i.imgur.com/onUoc7Z.png
Round 4 Player 2	Question 2	**What force** is exerted on a charged particle moving through a combination of an electric field and magnetic field? Also known as electromagnetic force, it is named after a Dutch physicist who arrived at a complete derivation for it in 1895 and later won the 1902 Nobel Prize in Physics.	**Lorentz** force	
Round 4 Player 3	Question 1	This 1917 Bengali romance novel is probably one of the most adapted works in Indian cinema. The 1979 adaptation in the language it was written in starred Soumitra Chatterjee and Uttam Kumar. **Identify the book or movie.**	**Devdas**	
Round 4 Player 3	Question 2	This screen grab from Ariana Grande's Thank U, Next references a film starring Jennifer Garner and Mark Ruffalo. **Which film**, with a title based on a song from Sound of Music, is this? 	**13 Going On 30**; The song being 16 Going On 17. <br> <img src='https://i.imgur.com/T1eoorB.png' height='300px'>	https://i.imgur.com/GztWHeZ.png
Round 4 Player 4	Question 1	**What weak chemical force** attracts neutral molecules to each other in gases, and in almost all organic liquids and solids? It is named for a Dutch physicist who postulated these intermolecular forces in 1873 while developing a theory to account for the properties of real/non-ideal gases. He won the 1910 Nobel Prize for Physics.	**Van der Waals** force	
Round 4 Player 4	Question 2	While composing music for Christopher Nolan’s Inception, Hans Zimmer read a 1979 book for inspiration. The book, which explored the common themes in the lives of three people, combined the idea of playfulness in mathematics and playfulness in music. **Which book?**	**Godel, Escher, Bach**: An Eternal Golden Braid (Accept GEB)	
Round 5 Player 1	Question 1	Having played for the Kolkata Knight Riders in the IPL from 2011 to 2015, **which Dutch all-rounder** has turned up for 29 games for the franchise? He has also captained Essex in the County Championship.	Ryan Ten **Doeschate**	https://i.imgur.com/EioSqbL.png
Round 5 Player 1	Question 2	A decline in trade with the Egyptians and Mestopotamians (caused by the 4.2-kiloyear event) combined with a weakened monsoon that affected the rain-fed Ghaggar-Hakra system led to the eventual collapse of **which South Asian civilisation**? The inhabitants moved towards the east, occupying regions around the Ganges. 	**Indus Valley** OR **Harappan** Civilisation (Prompt: Mohenjodaro)	
Round 5 Player 2	Question 1	The followers of **which religion** observe a fast during the annual holy celebration “Paryushana” that lasts for either 8 or 10 days depending on the sect? They may additionally adhere to the “Proşadhopavāsa”, fasting on the eighth and fourteenth days of the lunar month.	**Jainism**	
Round 5 Player 2	Question 2	These two long-stemmed, bowl-shaped glass designs differ by the thickness of the glass. **Name either of these two beer glass designs** that are used for many Belgian Trappist beers and hark back to common drinking vessel designs prevalent from the medieval times.	**Chalice** OR **Goblet** <br> <img src='https://i.imgur.com/1SechGI.jpg' height='300px'>	https://i.imgur.com/rI0nLV4.png
Round 5 Player 3	Question 1	Kevin Durant, one of the NBA's best players, has been lauded for his *killer instincts* and scoring prowess despite his *slender* build. **What two-word nickname**, that is a wordplay on a personification of death? 	**Slim Reaper**; A play on Grim Reaper.	https://i.imgur.com/OrjXo1k.jpg
Round 5 Player 3	Question 2	**What two-word name**, also the title of a 1972 adult film, was given to the whistleblower who was instrumental in uncovering a major political scandal that played out between 1972 and 1974 in the US?	**Deep Throat**	
Round 5 Player 4	Question 1	A series of extraordinary floods caused by the influence of the 4.2-kiloyear event in the lower Yangtze River area led to the wipeout of **which Neolithic jade culture** centred around present-day Zhejiang? Discovered following excavations by Shi Xingeng in 1936, the largest ancient walled city in China was part of this culture.   	**Liangshu** Culture	
Round 5 Player 4	Question 2	The only illustration in the 1859 publication of The Origin of Species was a sketch showing Darwin’s early insight into how a genus of related species might originate by divergence from a starting point. **What is the three-word term** Darwin uses to describe this drawing, a common visual metaphor for the connection of all living things?	**Tree of Life**	https://i.imgur.com/SPO3ym7.png
Round 6 Player 1	Question 1	Jose Miguel _______ (7), a respected military hero and a founder of Chile is said to have set up one of the earliest national newspapers in his home country, the Aurora de Chile. **Which lake** (7) was named to honour him? The lake is referred to as Lake Buenos Aires on the Argentine side.	Lake General **Carrera**	https://i.imgur.com/NFZJLM0.jpg
Round 6 Player 1	Question 2	**Which 2008 action thriller** starring over *40* Mollywood stars including Mohanlal and Mammooty was a fundraiser for the Association of Malayalam Movie Artists? It shares its name with a sports format that was emerging around that time.	**Twenty:20** (Prompt: T-20)	
Round 6 Player 2	Question 1	______ (6) is a collective noun for a group of pickpockets. This is something a pickpocket might do, and is used in a similar sense in the title of a Guy Ritchie film. **What term?**	**Snatch**	
